"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"event_study"
"07/11/2026 16:08:05:306 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","reserve-ratio","fundamental-shock?","lolr-active?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","ticks-since-shock","liquidity-ratio","frac-withdrawn","frac-concerned","bank-alive?"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","28","3","-0.0033122684041779443","0.045","0.105","false"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","1","0.027416913078363834","0.035","0.1","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.115","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","29","4","-0.0033122684041779443","0.045","0.105","false"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","29","4","0.04","0.04","0.205","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.1","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.135","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","30","5","-0.0033122684041779443","0.045","0.105","false"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","31","6","-0.0033122684041779443","0.045","0.105","false"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","2","0.03765462978280212","0.035","0.11","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","30","5","0.04","0.035","0.215","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","32","7","-0.0033122684041779443","0.045","0.105","false"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.13","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","1","0.02144490988503402","0.035","0.155","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","31","6","0.04","0.035","0.205","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","1","0.015669709650569828","0.03","0.135","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","28","3","0.04","0.03","0.12","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","32","7","0.04","0.035","0.215","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","33","8","-0.0033122684041779443","0.045","0.105","false"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.14","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","2","0.03174548978098103","0.035","0.175","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","2","0.02603108112793225","0.03","0.14","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","34","9","-0.0033122684041779443","0.045","0.105","false"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.145","true"
