"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"degree_vs_lethality"
"07/11/2026 15:56:57:672 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","reserve-ratio","fundamental-shock?","lolr-active?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","bank-alive?","ticks-since-shock","peak-withdrawn","frac-withdrawn","frac-concerned","liquidity-ratio","count links / count turtles"
"129","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.245","0.02","1"
"125","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.28","0.02","1"
"130","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.235","0.02","1"
"131","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0.01","0.23","0.02","1"
"134","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.32","0.02","1"
"133","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.3","0.02","1"
"135","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.285","0.02","1"
"137","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.24","0.02","1"
"132","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.26","0.02","1"
"138","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.32","0.02","1"
"136","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0.005","0.325","0.02","1"
"141","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0.005","0.255","0.02","1"
"142","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.2","0.02","1"
"140","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.285","0.02","1"
"139","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0.005","0.285","0.02","1"
"143","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.31","0.02","1"
"144","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.28","0.02","1"
"151","2","0.02","true","false","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","false","2","0.01","0.01","0.21","-0.004214417493021192","1"
"146","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.25","0.02","1"
"148","2","0.02","true","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","425","true","400","0","0","0.245","0.02","1"
